vanish,disappear,similar-nineninenine
quick,rapid,similar-nineninenine
creator,maker,similar-nineninenine
stupid,dumb,similar-nineninenine
insane,crazy,similar-nineninenine
happy,cheerful,similar-nineninenine
large,big,similar-nineninenine
cow,cattle,similar-nineninenine
large,huge,similar-nineninenine
area,region,similar-nineninenine
simple,easy,similar-nineninenine
bizarre,strange,similar-nineninenine
student,pupil,similar-nineninenine
attorney,lawyer,similar-nineninenine
occur,happen,similar-nineninenine
hallway,corridor,similar-nineninenine
teacher,instructor,similar-nineninenine
inform,notify,similar-nineninenine
smart,intelligent,similar-nineninenine
weird,odd,similar-nineninenine
taxi,cab,similar-nineninenine
happy,glad,similar-nineninenine
scarce,rare,similar-nineninenine
drizzle,rain,similar-nineninenine
protect,defend,similar-nineninenine
boundary,border,similar-nineninenine
plead,beg,similar-nineninenine
declare,announce,similar-nineninenine
cop,sheriff,similar-nineninenine
adversary,opponent,similar-nineninenine
strange,odd,similar-nineninenine
business,company,similar-nineninenine
pact,agreement,similar-nineninenine
corporation,business,similar-nineninenine
victory,triumph,similar-nineninenine
essential,necessary,similar-nineninenine
abundance,plenty,similar-nineninenine
weird,strange,similar-nineninenine
physician,doctor,similar-nineninenine
journey,trip,similar-nineninenine
movie,film,similar-nineninenine
task,job,similar-nineninenine
decide,choose,similar-nineninenine
shore,coast,similar-nineninenine
roam,wander,similar-nineninenine
crucial,important,similar-nineninenine
acquire,get,similar-nineninenine
contemplate,think,similar-nineninenine
friend,buddy,similar-nineninenine
heroine,hero,similar-nineninenine
danger,threat,similar-nineninenine
hard,difficult,similar-nineninenine
fast,rapid,similar-nineninenine
inspect,examine,similar-nineninenine
anger,fury,similar-nineninenine
champion,winner,similar-nineninenine
attention,awareness,similar-nineninenine
locate,find,similar-nineninenine
inexpensive,cheap,similar-nineninenine
create,make,similar-nineninenine
assignment,task,similar-nineninenine
delightful,wonderful,similar-nineninenine
alcohol,gin,similar-nineninenine
motor,engine,similar-nineninenine
buddy,companion,similar-nineninenine
wonderful,terrific,similar-nineninenine
bubble,suds,similar-nineninenine
achieve,accomplish,similar-nineninenine
acquire,obtain,similar-nineninenine
crib,cradle,similar-nineninenine
style,fashion,similar-nineninenine
noticeable,obvious,similar-nineninenine
aggression,hostility,similar-nineninenine
create,build,similar-nineninenine
explore,discover,similar-nineninenine
apparent,obvious,similar-nineninenine
pretend,imagine,similar-nineninenine
bad,awful,similar-nineninenine
certain,sure,similar-nineninenine
sheep,lamb,similar-nineninenine
horse,mare,similar-nineninenine
beach,seashore,similar-nineninenine
area,zone,similar-nineninenine
couple,pair,similar-nineninenine
purse,bag,similar-nineninenine
make,construct,similar-nineninenine
clarify,explain,similar-nineninenine
confident,sure,similar-nineninenine
sea,ocean,similar-nineninenine
orthodontist,dentist,similar-nineninenine
keep,possess,similar-nineninenine
expand,grow,similar-nineninenine
arrange,organize,similar-nineninenine
dreary,dull,similar-nineninenine
think,rationalize,similar-nineninenine
begin,originate,similar-nineninenine
harsh,cruel,similar-nineninenine
aviation,flight,similar-nineninenine
proclaim,announce,similar-nineninenine
motel,inn,similar-nineninenine
listen,hear,similar-nineninenine
appoint,elect,similar-nineninenine
belly,abdomen,similar-nineninenine
mood,emotion,similar-nineninenine
plane,jet,similar-nineninenine
racket,noise,similar-nineninenine
advise,recommend,similar-nineninenine
come,attend,similar-nineninenine
compare,analyze,similar-nineninenine
investigate,examine,similar-nineninenine
join,add,similar-nineninenine
hard,tough,similar-nineninenine
wonderful,great,similar-nineninenine
exotic,rare,similar-nineninenine
log,timber,similar-nineninenine
analyze,evaluate,similar-nineninenine
formal,proper,similar-nineninenine
communication,conversation,similar-nineninenine
author,creator,similar-nineninenine
reduce,shrink,similar-nineninenine
formula,equation,similar-nineninenine
anarchy,chaos,similar-nineninenine
cancer,sickness,similar-nineninenine
bottle,container,similar-nineninenine
win,succeed,similar-nineninenine
money,salary,similar-nineninenine
bird,hawk,similar-nineninenine
mob,crowd,similar-nineninenine
wine,liquor,similar-nineninenine
circumstance,situation,similar-nineninenine
win,accomplish,similar-nineninenine
jar,bottle,similar-nineninenine
beast,animal,similar-nineninenine
bad,terrible,similar-nineninenine
elastic,flexible,similar-nineninenine
rat,mouse,similar-nineninenine
evening,dusk,similar-nineninenine
conclude,decide,similar-nineninenine
attach,join,similar-nineninenine
emotion,passion,similar-nineninenine
celebration,ceremony,similar-nineninenine
cottage,cabin,similar-nineninenine
belief,opinion,similar-nineninenine
wagon,carriage,similar-nineninenine
participate,join,similar-nineninenine
sense,intuition,similar-nineninenine
population,people,similar-nineninenine
satisfy,please,similar-nineninenine
fever,illness,similar-nineninenine
polite,proper,similar-nineninenine
charcoal,coal,similar-nineninenine
agony,grief,similar-nineninenine
leave,go,similar-nineninenine
know,comprehend,similar-nineninenine
bad,immoral,similar-nineninenine
way,manner,similar-nineninenine
capability,competence,similar-nineninenine
wire,cord,similar-nineninenine
rabbi,minister,similar-nineninenine
choose,elect,similar-nineninenine
make,earn,similar-nineninenine
roof,ceiling,similar-nineninenine
book,literature,similar-nineninenine
supper,meal,similar-nineninenine
crime,theft,similar-nineninenine
ballad,song,similar-nineninenine
beer,alcohol,similar-nineninenine
boy,kid,similar-nineninenine
competence,ability,similar-nineninenine
tobacco,cigarette,similar-nineninenine
achieve,succeed,similar-nineninenine
steak,meat,similar-nineninenine
communication,language,similar-nineninenine
linen,fabric,similar-nineninenine
wisdom,intelligence,similar-nineninenine
understand,know,similar-nineninenine
realize,discover,similar-nineninenine
car,cab,similar-nineninenine
crowd,bunch,similar-nineninenine
alcohol,wine,similar-nineninenine
begin,go,similar-nineninenine
politician,president,similar-nineninenine
necessary,important,similar-nineninenine
lose,fail,similar-nineninenine
mud,dirt,similar-nineninenine
cloud,haze,similar-nineninenine
river,stream,similar-nineninenine
wood,log,similar-nineninenine
god,spirit,similar-nineninenine
bed,crib,similar-nineninenine
proof,fact,similar-nineninenine
gather,meet,similar-nineninenine
behave,obey,similar-nineninenine
dumb,dense,similar-nineninenine
alcohol,whiskey,similar-nineninenine
leader,manager,similar-nineninenine
reflection,image,similar-nineninenine
sly,clever,similar-nineninenine
metal,aluminum,similar-nineninenine
administration,management,similar-nineninenine
battle,conquest,similar-nineninenine
attention,interest,similar-nineninenine
despair,misery,similar-nineninenine
give,lend,similar-nineninenine
take,possess,similar-nineninenine
disease,infection,similar-nineninenine
sweater,jacket,similar-nineninenine
meal,dinner,similar-nineninenine
fee,payment,similar-nineninenine
activity,movement,similar-nineninenine
investigate,pursue,similar-nineninenine
actress,actor,similar-nineninenine
crime,violation,similar-nineninenine
mouth,lip,similar-nineninenine
take,obtain,similar-nineninenine
band,orchestra,similar-nineninenine
steeple,chapel,similar-nineninenine
horse,colt,similar-nineninenine
father,parent,similar-nineninenine
strength,might,similar-nineninenine
value,belief,similar-nineninenine
recent,new,similar-nineninenine
right,justice,similar-nineninenine
archbishop,bishop,similar-nineninenine
arrive,come,similar-nineninenine
cattle,beef,similar-nineninenine
bird,hen,similar-nineninenine
pretend,portray,similar-nineninenine
business,industry,similar-nineninenine
violent,angry,similar-nineninenine
music,melody,similar-nineninenine
alcohol,brandy,similar-nineninenine
flower,violet,similar-nineninenine
monster,demon,similar-nineninenine
illness,infection,similar-nineninenine
adult,guardian,similar-nineninenine
limb,leg,similar-nineninenine
vision,perception,similar-nineninenine
accept,acknowledge,similar-nineninenine
ignore,avoid,similar-nineninenine
new,fresh,similar-nineninenine
mink,fur,similar-nineninenine
ray,sunshine,similar-nineninenine
boy,son,similar-nineninenine
cat,lion,similar-nineninenine
canyon,valley,similar-nineninenine
idea,scheme,similar-nineninenine
aisle,hallway,similar-nineninenine
appointment,engagement,similar-nineninenine
imitate,portray,similar-nineninenine
accept,believe,similar-nineninenine
big,broad,similar-nineninenine
alcohol,cocktail,similar-nineninenine
dumb,foolish,similar-nineninenine
world,globe,similar-nineninenine
chair,bench,similar-nineninenine
money,capital,similar-nineninenine
sofa,chair,similar-nineninenine
cloud,mist,similar-nineninenine
boy,brother,similar-nineninenine
discuss,explain,similar-nineninenine
collect,save,similar-nineninenine
delightful,cheerful,similar-nineninenine
bird,turkey,similar-nineninenine
situation,condition,similar-nineninenine
endurance,strength,similar-nineninenine
violin,instrument,similar-nineninenine
composer,writer,similar-nineninenine
save,protect,similar-nineninenine
cabin,hut,similar-nineninenine
beautiful,wonderful,similar-nineninenine
intelligence,logic,similar-nineninenine
marijuana,herb,similar-nineninenine
mother,guardian,similar-nineninenine
frustration,anger,similar-nineninenine
water,ice,similar-nineninenine
vehicle,bus,similar-nineninenine
shelter,hut,similar-nineninenine
ask,plead,similar-nineninenine
molecule,atom,similar-nineninenine
navy,army,similar-nineninenine
cooperate,participate,similar-nineninenine
tin,aluminum,similar-nineninenine
guilty,ashamed,similar-nineninenine
storm,hurricane,similar-nineninenine
withdraw,reject,similar-nineninenine
acquire,find,similar-nineninenine
book,text,similar-nineninenine
aisle,hall,similar-nineninenine
size,magnitude,similar-nineninenine
hysteria,confusion,similar-nineninenine
sandwich,lunch,similar-nineninenine
mouth,tooth,similar-nineninenine
priest,monk,similar-nineninenine
driver,pilot,similar-nineninenine
whiskey,gin,similar-nineninenine
appear,attend,similar-nineninenine
winter,season,similar-nineninenine
glass,crystal,similar-nineninenine
dictionary,definition,similar-nineninenine
overcome,dominate,similar-nineninenine
argue,persuade,similar-nineninenine
big,heavy,similar-nineninenine
article,journal,similar-nineninenine
take,steal,similar-nineninenine
noise,rattle,similar-nineninenine
kidney,organ,similar-nineninenine
greet,meet,similar-nineninenine
organ,liver,similar-nineninenine
hen,turkey,similar-nineninenine
rhythm,melody,similar-nineninenine
depth,magnitude,similar-nineninenine
bed,furniture,similar-nineninenine
flu,fever,similar-nineninenine
attend,arrive,similar-nineninenine
insect,bee,similar-nineninenine
wealth,prestige,similar-nineninenine
impatient,anxious,similar-nineninenine
oak,maple,similar-nineninenine
happiness,peace,similar-nineninenine
code,symbol,similar-nineninenine
pipe,cigar,similar-nineninenine
cloud,fog,similar-nineninenine
beg,ask,similar-nineninenine
sunset,evening,similar-nineninenine
rain,mist,similar-nineninenine
lover,companion,similar-nineninenine
unhappy,mad,similar-nineninenine
army,legion,similar-nineninenine
cat,pet,similar-nineninenine
belief,impression,similar-nineninenine
prince,king,similar-nineninenine
enjoy,entertain,similar-nineninenine
friendly,generous,similar-nineninenine
laden,heavy,similar-nineninenine
hard,dense,similar-nineninenine
stomach,waist,similar-nineninenine
intelligence,insight,similar-nineninenine
accident,catastrophe,similar-nineninenine
kill,destroy,similar-nineninenine
clothes,fabric,similar-nineninenine
moon,planet,similar-nineninenine
goal,quest,similar-nineninenine
guy,stud,similar-nineninenine
house,apartment,similar-nineninenine
death,tragedy,similar-nineninenine
meat,bacon,similar-nineninenine
comfort,safety,similar-nineninenine
carry,bring,similar-nineninenine
deserve,earn,similar-nineninenine
disappear,shrink,similar-nineninenine
determine,predict,similar-nineninenine
child,boy,similar-nineninenine
remain,retain,similar-nineninenine
replace,restore,similar-nineninenine
woman,wife,similar-nineninenine
river,sea,similar-nineninenine
elegance,style,similar-nineninenine
opinion,idea,similar-nineninenine
gun,cannon,similar-nineninenine
president,mayor,similar-nineninenine
win,dominate,similar-nineninenine
crime,fraud,similar-nineninenine
newspaper,information,similar-nineninenine
book,story,similar-nineninenine
polyester,cotton,similar-nineninenine
tin,metal,similar-nineninenine
cloud,storm,similar-nineninenine
beach,island,similar-nineninenine
meter,yard,similar-nineninenine
cab,bus,similar-nineninenine
communication,television,similar-nineninenine
bias,opinion,similar-nineninenine
doctor,orthodontist,similar-nineninenine
helper,maid,similar-nineninenine
machine,engine,similar-nineninenine
floor,deck,similar-nineninenine
vitamin,iron,similar-nineninenine
tree,maple,similar-nineninenine
august,month,similar-nineninenine
childish,foolish,similar-nineninenine
uncle,aunt,similar-nineninenine
exit,doorway,similar-nineninenine
know,believe,similar-nineninenine
street,alley,similar-nineninenine
phrase,word,similar-nineninenine
snow,weather,similar-nineninenine
discussion,argument,similar-nineninenine
absorb,learn,similar-nineninenine
clothes,cloth,similar-nineninenine
day,dawn,similar-nineninenine
action,course,similar-nineninenine
opinion,choice,similar-nineninenine
book,article,similar-nineninenine
engage,marry,similar-nineninenine
beer,beverage,similar-nineninenine
sad,terrible,similar-nineninenine
door,doorway,similar-nineninenine
era,decade,similar-nineninenine
keep,protect,similar-nineninenine
paper,cardboard,similar-nineninenine
pain,harm,similar-nineninenine
girl,child,similar-nineninenine
parent,adult,similar-nineninenine
worker,employer,similar-nineninenine
intelligence,skill,similar-nineninenine
clothes,coat,similar-nineninenine
join,marry,similar-nineninenine
anatomy,biology,similar-nineninenine
whiskey,champagne,similar-nineninenine
man,husband,similar-nineninenine
neck,spine,similar-nineninenine
acknowledge,notify,similar-nineninenine
strength,capability,similar-nineninenine
door,gate,similar-nineninenine
plate,bowl,similar-nineninenine
club,society,similar-nineninenine
take,carry,similar-nineninenine
rail,fence,similar-nineninenine
gossip,news,similar-nineninenine
cooperate,join,similar-nineninenine
wine,brandy,similar-nineninenine
bean,coffee,similar-nineninenine
vessel,vein,similar-nineninenine
bible,hymn,similar-nineninenine
clothes,jacket,similar-nineninenine
argue,differ,similar-nineninenine
give,allow,similar-nineninenine
sugar,honey,similar-nineninenine
car,carriage,similar-nineninenine
cup,jar,similar-nineninenine
think,decide,similar-nineninenine
create,imagine,similar-nineninenine
army,squad,similar-nineninenine
belief,concept,similar-nineninenine
birthday,date,similar-nineninenine
